,1/11/2008,1/18/2008,1/25/2008,2/1/2008,2/8/2008,2/15/2008,2/22/2008,2/29/2008,3/7/2008,3/14/2008,3/20/2008,3/28/2008,4/4/2008,4/11/2008,4/18/2008,4/25/2008,5/2/2008,5/9/2008,5/16/2008,5/23/2008,5/30/2008,6/6/2008,6/13/2008,6/20/2008,6/27/2008,7/3/2008,7/11/2008,7/18/2008,7/25/2008,8/1/2008,8/8/2008,8/15/2008,8/22/2008,8/29/2008,9/5/2008,9/12/2008,9/19/2008,9/26/2008,10/3/2008,10/10/2008,10/17/2008,10/24/2008,10/31/2008,11/7/2008,11/14/2008,11/21/2008,11/28/2008,12/5/2008,12/12/2008,12/19/2008,12/26/2008,1/2/2009,1/9/2009,1/16/2009,1/23/2009,1/30/2009,2/6/2009,2/13/2009,2/20/2009,2/27/2009,3/6/2009,3/13/2009,3/20/2009,3/27/2009,4/3/2009,4/9/2009,4/17/2009,4/24/2009,5/1/2009,5/8/2009,5/15/2009,5/22/2009,5/29/2009,6/5/2009,6/12/2009,6/19/2009,6/26/2009,7/2/2009,7/10/2009,7/17/2009,7/24/2009,7/31/2009,8/7/2009,8/14/2009,8/21/2009,8/28/2009,9/4/2009,9/11/2009,9/18/2009,9/25/2009,10/2/2009,10/9/2009,10/16/2009,10/23/2009,10/30/2009,11/6/2009,11/13/2009,11/20/2009,11/27/2009,12/4/2009,12/11/2009,12/18/2009,12/24/2009,12/31/2009,1/8/2010,1/15/2010,1/22/2010,1/29/2010,2/5/2010,2/12/2010,2/19/2010,2/26/2010,3/5/2010,3/12/2010,3/19/2010,3/26/2010,4/1/2010,4/9/2010,4/16/2010,4/23/2010,4/30/2010,5/7/2010,5/14/2010,5/21/2010,5/28/2010,6/4/2010,6/11/2010,6/18/2010,6/25/2010,7/2/2010,7/9/2010,7/16/2010,7/23/2010,7/30/2010,8/6/2010,8/13/2010,8/20/2010,8/27/2010,9/3/2010,9/10/2010,9/17/2010,9/24/2010,10/1/2010,10/8/2010,10/15/2010,10/22/2010,10/29/2010,11/5/2010,11/12/2010,11/19/2010,11/26/2010,12/3/2010,12/10/2010,12/17/2010,12/23/2010,12/31/2010,1/7/2011,1/14/2011,1/21/2011,1/28/2011,2/4/2011,2/11/2011,2/18/2011,2/25/2011,3/4/2011,3/11/2011,3/18/2011,3/25/2011,4/1/2011,4/8/2011,4/15/2011,4/21/2011,4/29/2011,5/6/2011,5/13/2011,5/20/2011,5/27/2011,6/3/2011,6/10/2011,6/17/2011,6/24/2011,7/1/2011,7/8/2011,7/15/2011,7/22/2011,7/29/2011,8/5/2011,8/12/2011,8/19/2011,8/26/2011,9/2/2011,9/9/2011,9/16/2011,9/23/2011,9/30/2011,10/7/2011,10/14/2011,10/21/2011,10/28/2011,11/4/2011,11/11/2011,11/18/2011,11/25/2011,12/2/2011,12/9/2011,12/16/2011,12/23/2011,12/30/2011,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/5/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013
1.75_10_250,95564,82847,70941,66003,56306,55430,56212,54772,54039,54356,38101,39550,32383,35350,27283,30097,31045,31640,33571,27762,29712,36297,34305,40645,36079,34966,31026,25326,22363,21618,12393,16673,17486,30503,16263,8257,-13311,-23156,-35104,-46666,-48183,-63684,-76688,-78452,-104450,-116007,-122505,-125082,-129626,-126075,-115624,-110759,-105386,-110179,-106318,-103217,-109361,-106528,-102328,-100419,-98307,-112586,-108802,-104362,-100592,-89448,-76736,-62367,-48906,-44288,-33451,-17895,1108,18855,40497,55148,74896,100284,125706,122980,138311,157171,180876,208567,238417,267971,293823,319539,332080,358126,388859,404601,431739,455634,455479,470104,492152,511795,535817,554481,576357,596022,613461,633566,646360,660043,671214,680228,687077,701356,713316,726295,739654,754681,768149,778340,793170,808233,818211,825235,824906,795000,793113,771183,771737,774469,778078,782188,773124,748833,748888,752032,749502,754729,758573,747741,749671,749609,746099,751246,755248,761121,769316,773768,778556,787702,795941,792563,794658,798571,804218,799979,806041,810842,821307,835357,836985,838382,841499,845665,844037,849380,856928,860200,866171,861798,861586,865895,873308,881866,887512,889704,896114,892497,902356,912646,920623,917646,921769,926103,927635,907877,912461,917573,918761,912382,885052,884831,880515,880685,881768,872944,859176,836162,834027,829851,828924,827770,817227,815170,820347,820672,821108,815086,820939,820223,824872,835623,841522,851116,857378,865664,868664,881965,895079,909933,922310,934009,944229,956900,971085,984506,998085,1006891,1012173,1019549,1028647,1027041,1030971,1029469,1026731,1036210,1043501,1047615,1057131,1063072,1068975,1067115,1074016,1079212,1088975,1101463,1119042,1124546,1126223,1133366,1144718,1151656,1158091,1157250,1163287,1166198,1169109,1168126,1172833,1178739,1184516,1190925,1192222,1202220,1184734,1190430,1200775,1205316,1211892,1221487,1232136
1.5_5_200,92036,74080,57045,45772,29768,27650,28246,22944,20235,16542,-2277,-3612,-17516,-17725,-27989,-25781,-28006,-27195,-25106,-31188,-24523,-17989,-19301,-14811,-21601,-22246,-29401,-41576,-47750,-49565,-58683,-53464,-58833,-41069,-55975,-69271,-95527,-107440,-123714,-140426,-155829,-179097,-199805,-213495,-237401,-261548,-273673,-285637,-293459,-292187,-282668,-276407,-269804,-279601,-275188,-277804,-285950,-284710,-281808,-281537,-280933,-300152,-297471,-288646,-284755,-270925,-251112,-237636,-223277,-220010,-212735,-194086,-172438,-156095,-127463,-113181,-84218,-54825,-28294,-37100,-14380,8121,32852,68237,99163,129367,150231,178682,186380,222779,255563,268081,300458,327849,323962,344997,370229,397997,427035,443537,467253,490255,511319,540076,552912,569056,577441,586323,595548,611433,629300,646802,660230,679942,695734,704720,721372,736883,746690,749060,745405,718625,716351,693176,688938,690892,692863,698900,681796,657867,649141,652951,649978,655474,663437,649115,650525,645853,639646,647245,655088,661474,673251,676197,683662,695147,704709,699155,701117,705336,712415,705584,713817,721339,734062,753312,754342,756036,759267,764679,761598,771839,781093,779825,785604,780863,779809,784682,796510,806178,814154,816504,823678,816686,827893,839011,846785,843488,848434,857948,857005,839838,847657,855032,857104,849946,821174,818640,804568,803521,801873,789252,773826,749794,742225,730175,726662,719714,710003,702505,705241,703325,705206,687781,696408,690803,696047,717369,729308,738629,752410,760156,764672,780860,797637,815870,829767,843521,856435,875603,890992,908151,923339,939746,944848,954803,963023,957698,964193,961306,958847,965473,971068,977887,987332,996517,1003225,999357,1004740,1014929,1032657,1048770,1071581,1079937,1080473,1091858,1100661,1112886,1120346,1116752,1124809,1128364,1130932,1129313,1134704,1146830,1155760,1162523,1165345,1183767,1168939,1176743,1190294,1195059,1203321,1215570,1230006
1.25_5_200,88037,67505,47957,34860,18878,15367,16454,10742,7596,2561,-17536,-19482,-35358,-35057,-46618,-44751,-47958,-46613,-45051,-52091,-44303,-39610,-42233,-38277,-46604,-49132,-58508,-70396,-77686,-80400,-89566,-83776,-88182,-69778,-84411,-99201,-126186,-140129,-162060,-183355,-203830,-230064,-253647,-271191,-296524,-321786,-337806,-351452,-361247,-362450,-354801,-346698,-339938,-349300,-345624,-349540,-357128,-357889,-354985,-355545,-355170,-374112,-371860,-361640,-358438,-343023,-320795,-305443,-288423,-284990,-278265,-258538,-234434,-218241,-187849,-175031,-145788,-113294,-86562,-97570,-72707,-48109,-22808,12361,44582,75197,94720,126569,135342,170682,204684,215138,247266,275883,271090,292840,318349,347047,375556,392794,417157,441807,463807,492754,504804,519731,533670,542530,551453,569035,588278,605970,619923,639899,654834,664138,681346,697236,707919,711636,706608,679131,676046,651672,644982,647945,648136,655708,639135,614031,604743,608311,605929,613357,621932,608136,610614,604716,596968,606530,615968,621238,633745,635005,640670,652695,662569,657571,661310,664041,671139,665604,675087,683186,697009,717875,720482,721703,725251,730766,725635,736614,746021,744202,750687,746336,742036,745499,758340,767833,773521,777462,784623,778245,790538,803591,811454,806824,812852,824876,822358,804318,812360,820221,822010,813438,783975,781576,763806,759906,757459,745183,728222,704537,694210,677966,671200,663997,653899,645909,647643,645177,645869,628600,639278,632924,637992,660960,674439,683462,698427,708609,713394,730906,748249,768262,782791,797380,811077,830166,846701,865476,881455,898289,903095,913802,923683,917404,923116,922689,918846,925298,930261,937111,947849,957794,965933,961519,968477,980226,999732,1016106,1039358,1051144,1050548,1063090,1071877,1084063,1091827,1088882,1096006,1100224,1102612,1100015,1107077,1119176,1128039,1134965,1136710,1156038,1141667,1150548,1163773,1169499,1178928,1191568,1206319
2.0_10_250,97562,87492,79476,76552,68388,67908,68856,67722,69019,68762,56222,57962,53690,56052,50698,52083,53246,53425,54869,50766,51828,58792,58027,62983,58698,57663,56229,51544,51385,51225,42469,45509,46638,57686,42329,36099,17253,9160,2426,-4564,-5444,-17345,-25280,-26013,-47129,-56307,-59987,-60983,-64450,-60976,-51631,-46357,-41419,-43797,-41288,-37672,-43051,-39231,-34943,-33599,-32651,-43329,-39947,-35909,-32842,-23731,-12328,660,12928,19097,28601,42636,57745,75874,95442,108477,125978,148789,173420,173156,186598,203357,224132,249003,275553,302722,327450,350632,363752,387500,417125,432884,458091,480265,479718,491534,511035,528874,551179,569760,591102,609478,624431,642722,654416,668477,677977,685429,691133,703559,713955,725239,737579,751056,764323,773602,786941,800480,809563,815364,814281,785747,783659,765303,765585,767319,770249,773652,767888,746157,746480,750352,748448,752824,755503,746406,747428,748530,744880,749003,752235,758477,765841,769392,772568,780354,787359,782993,785386,788840,793699,789286,794393,798044,807073,819158,819809,822034,824533,828560,827853,832456,837994,840580,845101,838787,839864,842993,848829,856279,862788,864019,870481,868869,876984,885990,893876,890516,893640,897796,900208,882716,886410,890986,892477,888719,864523,864476,860872,862208,863813,856835,845040,823308,821524,818607,817813,817797,808341,807974,811654,811505,812413,808525,813322,812923,815872,824574,828771,837770,843374,850239,853241,865586,877466,889829,902253,913905,923471,934859,948816,961245,973438,981269,989606,998785,1007488,1006010,1008604,1005884,1003515,1011604,1018253,1021710,1028627,1033727,1038851,1037382,1042916,1047651,1055782,1067141,1082867,1088033,1089765,1095454,1104943,1109899,1116177,1115712,1121584,1123392,1126740,1126977,1131570,1136133,1140515,1146941,1147879,1156430,1139384,1144429,1153063,1157097,1161976,1170791,1180941
1.25_10_200,90565,76881,60759,51404,38976,38059,36579,32883,31038,29795,11404,8407,-3246,-1946,-11381,-10039,-12066,-10577,-9066,-13824,-8954,-3027,-5507,287,-6955,-8542,-13972,-25666,-31425,-33171,-43184,-38688,-42366,-26180,-43443,-54765,-79418,-93362,-112829,-128568,-132590,-153271,-171824,-181013,-206462,-223887,-235781,-245001,-251138,-248509,-241514,-241497,-234978,-243958,-239654,-240679,-249176,-248485,-246713,-244956,-246643,-261452,-257663,-251164,-248412,-233262,-215489,-201381,-186930,-184756,-174596,-156649,-137548,-120808,-95272,-82059,-55828,-24938,1594,-6732,12791,34793,59777,90273,123334,155301,176768,207719,219144,248639,281973,293255,325004,351714,348449,365705,390987,414401,441534,457454,482139,504844,524853,549362,562891,578955,588113,597060,605148,622851,638285,655253,667520,685893,702205,713145,730389,745106,756100,761270,758775,732189,729683,706552,706164,709287,709347,715628,704623,681690,678931,683483,680223,686402,691408,678557,680707,675565,669770,678162,684589,691008,702132,706923,714105,723771,732481,728441,731861,733714,742468,736963,745786,752246,764068,781842,782934,783670,786017,791393,788088,796186,802145,799554,806709,799854,797590,802603,812128,821864,828081,829619,837083,832322,842320,854526,861416,857371,860895,868163,865870,848798,854466,860182,862514,854438,826680,822734,814515,813040,810947,797903,783049,759110,752221,737471,733189,732030,722310,714333,719603,718724,718741,705131,713055,709979,713251,729420,739829,751251,759556,768362,770695,787330,801796,819003,832300,845017,857428,870576,887347,903531,920609,933140,938684,945737,955197,952069,958191,952419,945785,954998,961073,966634,978420,985558,992238,989451,996922,1006393,1019231,1034668,1054159,1062895,1060776,1069622,1078316,1087491,1094577,1093457,1100310,1102549,1105323,1102057,1107259,1114885,1121466,1127381,1127394,1140703,1123288,1129712,1141486,1145492,1153469,1163599,1173678
1.5_10_200,93950,82109,69259,62597,52296,52181,51036,47889,44817,44312,29579,27504,17501,19945,11055,12693,12230,14644,16949,12716,16067,23503,21552,25977,20157,18848,14956,5475,614,-655,-10125,-6853,-9537,4846,-12297,-21116,-42816,-55257,-70296,-81542,-83847,-100804,-116200,-120821,-145853,-160057,-169933,-176659,-181751,-179704,-171709,-171280,-164230,-172413,-168994,-166717,-174586,-171480,-167858,-166177,-165519,-180338,-176499,-170530,-166189,-152383,-137077,-122967,-110081,-108194,-97753,-81258,-68532,-51363,-27688,-13580,8731,36277,62784,56731,73328,93889,116128,145210,175289,205930,229563,256212,269507,297677,328907,341592,369602,394837,393625,409205,433589,454407,479434,495916,519813,540983,558117,580404,593718,607818,614148,622849,630134,645758,659330,673565,685293,701929,716749,727274,742486,757076,767103,771612,769920,744348,742471,721126,721772,724807,726670,731480,722601,700750,699859,704087,700404,705386,710883,698686,700662,696816,691890,697454,702187,708258,718729,722268,727456,736696,745926,740286,743192,747977,754569,748471,756129,762857,773262,789080,791441,791678,792392,797499,796036,803047,809155,807621,812734,807629,806524,810433,818842,827423,834767,835479,841505,836593,844785,856170,863228,860000,864436,870055,868805,851785,856123,861123,862433,854971,829641,828804,822388,821576,821930,810804,797226,774917,771116,760412,757331,757031,746682,741092,746743,744948,745469,735615,742642,742124,745129,757759,766469,776606,784568,792414,795014,809580,823707,838739,850608,862704,873421,885642,900173,914702,929202,939906,945412,954359,962414,959721,964036,959361,953962,963084,968348,972662,983073,987945,993907,989744,996541,1003305,1013983,1027142,1044756,1048948,1048223,1056706,1066350,1074215,1080310,1079823,1087341,1089726,1091602,1089461,1095177,1102114,1108814,1114045,1115314,1126544,1110419,1116410,1127488,1132027,1138585,1148132,1158060
1.0_10_200,87715,71171,51521,40633,26273,23388,22138,17972,14007,10410,-10326,-14871,-28976,-27174,-37864,-36342,-39772,-38773,-37604,-44218,-39090,-33551,-35623,-30434,-38401,-40560,-47167,-60609,-68134,-69574,-79218,-73709,-78562,-60895,-77094,-91010,-117371,-132489,-155025,-175077,-187381,-213705,-237493,-251711,-277678,-298739,-315654,-327870,-338638,-336985,-330012,-326985,-319270,-329089,-325667,-330641,-338681,-342993,-340232,-338827,-340443,-358335,-352980,-343789,-337905,-324209,-304278,-288660,-272676,-271950,-262511,-243352,-220984,-203249,-174929,-162887,-134951,-103513,-78670,-89173,-66481,-43948,-18057,13790,49177,82298,103781,137352,146920,179649,214023,224270,256028,281822,277232,296705,323167,349567,378965,395678,419810,443345,464340,491680,504467,520978,530767,541170,549091,569237,586122,602199,614038,633553,650018,660114,679106,696335,707520,713857,709463,682651,680787,657652,654707,658301,658435,666382,655145,630508,627606,630966,626531,634288,639939,627370,630352,624507,618315,628137,636223,643801,656453,661519,669521,680106,689741,686002,690625,691066,700314,693751,704590,711423,723752,743108,743299,743658,745654,751577,745780,755400,762944,758927,765759,760588,756317,760757,771607,780340,785511,786159,792251,788078,799750,812702,819808,815952,817106,826338,820997,803357,810693,817114,820478,812252,783620,776417,764533,760834,757641,742780,726002,701289,690586,672760,667447,664188,655004,644682,649513,646145,645280,629554,638786,634081,638361,656574,667425,677651,689044,699183,701767,721600,737076,757094,771858,784519,797961,813951,831400,848672,867440,881551,887477,895253,905083,901126,908042,904155,896466,903540,907868,914517,925094,933282,940122,936389,946191,955697,971984,990033,1011699,1022313,1020819,1031551,1040179,1051033,1059463,1057025,1064773,1067370,1071686,1067069,1071243,1080129,1088414,1094610,1095023,1110826,1095765,1103791,1116472,1121399,1130243,1142406,1154058
1.75_10_200,94831,85004,74990,70266,61809,61853,61599,60147,59562,58350,45311,45881,38891,42258,34833,37276,37159,37658,39007,34461,36392,42784,41136,46539,41851,41013,37950,30039,27180,26505,17923,21309,19764,32141,18378,11448,-6965,-15487,-26643,-35805,-37110,-50035,-60829,-62113,-84589,-94589,-100977,-104435,-109309,-107690,-98409,-96642,-91319,-98285,-95156,-91817,-99422,-97847,-93906,-92347,-92460,-105097,-102706,-98156,-94397,-83293,-69981,-57840,-46301,-43343,-32716,-16720,-4138,13239,34931,48638,68396,92424,116366,112298,126719,144974,166769,193658,222053,250162,274984,298384,310351,336087,365680,380656,407444,430949,430894,444828,466976,486049,508991,525372,547038,565487,582480,602635,615465,628452,634960,643063,649543,663534,675304,687571,699640,714813,727669,737866,751698,764535,774473,779345,777883,753270,752093,733647,733781,736026,737992,741636,734311,713626,713450,716144,713948,719225,723641,714361,716020,714352,710112,714781,719003,723766,732681,736233,740720,748834,756136,750708,752507,756158,761675,757526,764288,769625,778932,791909,793922,795733,797317,802045,800148,806051,813213,811934,816633,812402,812058,815632,822665,830565,837019,838015,843815,839152,847132,857272,864861,862554,867107,871014,872542,856218,859392,864146,865730,859713,836673,836278,832860,832729,833293,824667,812896,792307,789955,783284,781542,780928,771233,767031,771977,771895,772336,766018,771455,770807,772877,783208,789035,798451,804813,811791,814577,827522,839964,853876,865732,877303,887420,898999,912044,925565,938316,947074,951542,958071,965120,962201,966221,961727,957378,966533,972745,976323,984918,989317,995608,992339,998492,1003694,1013107,1025135,1042026,1044047,1044814,1051766,1061900,1068366,1074597,1074160,1080387,1081531,1082794,1082209,1087316,1093034,1098653,1103680,1104285,1113681,1097780,1102580,1112370,1115612,1122388,1131562,1141640
1.0_5_200,84967,64162,42356,26858,9268,3400,4058,-1391,-6169,-12661,-33982,-38780,-54173,-53210,-65163,-62557,-65968,-67482,-66359,-73851,-63933,-60973,-63353,-58904,-67116,-70550,-80121,-93500,-102138,-104637,-113812,-109962,-114816,-97424,-112315,-127555,-155244,-169868,-194362,-219652,-243521,-271057,-297573,-317273,-343636,-369585,-389204,-405325,-418725,-422203,-417710,-408305,-400782,-413546,-412394,-418618,-425875,-430724,-425568,-425088,-426148,-447004,-447256,-436930,-429160,-414641,-390163,-374874,-358812,-357934,-352990,-333262,-305376,-288523,-259959,-247450,-217466,-185059,-159430,-171501,-146233,-122321,-97745,-63017,-28109,4181,24210,58323,64880,100615,134714,144952,177503,205883,201121,223961,251764,279742,309903,326148,349595,374720,398821,429681,441064,457352,473209,483136,490060,509913,531677,548754,562811,582727,597913,608041,627363,644480,655935,660306,654737,626449,622420,597269,586890,589099,587825,597888,581210,556000,545938,549759,544489,552973,561310,547468,549679,541817,535393,547247,558651,565872,578776,581067,587526,599190,609384,603632,608297,609510,615403,609791,620991,628849,643321,665662,667202,667482,672395,678223,672016,683002,693477,690829,697010,691466,685803,689867,703138,712154,717703,721493,728217,721727,733759,747576,755912,751891,753608,765723,761972,743978,753376,761335,762840,753714,724475,716549,697227,693008,687960,673136,656000,630910,618249,599086,591147,581919,570700,560546,562259,559348,560586,543236,554618,546321,551346,577949,592249,599976,616590,625269,630919,650538,668386,690046,704766,718935,732441,752623,770322,789717,806509,823525,827789,837144,847030,839284,845662,846538,840786,847442,849503,856944,867624,876136,883757,881190,889591,901062,921469,939576,963498,977750,977620,992023,999425,1011816,1020938,1017690,1024817,1028904,1031282,1027355,1035174,1047858,1057951,1064917,1065301,1086441,1072410,1082440,1096867,1103126,1112432,1124402,1140127
1.5_21_300,92581,79899,74499,71258,64715,66788,68277,69206,69809,70681,57609,56773,49331,52485,48224,50133,54009,54942,55047,52082,54065,60778,60286,65145,64169,63242,61504,55640,54601,54110,47440,51050,54173,62002,48678,38443,15978,6641,-6973,-18062,-18717,-19977,-23085,-23666,-43745,-57852,-60634,-61532,-63590,-60402,-53792,-49037,-41884,-48234,-42773,-37282,-42295,-36886,-33623,-29778,-28215,-34458,-30997,-26002,-21470,-15667,-2945,9127,20731,26309,36907,50224,63786,82214,101580,117349,138274,158224,180538,176892,197160,214724,227702,247358,271186,298112,322591,350229,361434,383760,405175,420239,447559,468599,470648,486310,505045,522086,537265,552309,574242,593029,608025,623932,634738,648666,657241,669591,676993,685211,693676,707536,719325,731466,742138,749090,758829,771690,780664,784430,784484,751799,750068,733666,735290,735338,737483,741656,733981,712581,713152,715756,713303,718256,720024,714791,718103,719053,719383,724236,729084,733183,738099,742591,746539,753284,758635,757891,761972,767626,771619,768532,775835,780917,786570,794164,795759,801123,805246,810241,810220,815053,819934,821443,826660,824101,823953,828952,834439,842073,847172,850729,857494,853708,861199,869243,875431,875622,879839,885293,889479,873730,878226,881752,881407,877777,844430,841570,836963,837430,838828,837559,825672,806039,803664,799634,799980,800174,792689,793620,798035,799211,798791,790538,797441,797051,802962,810566,813980,820940,823001,828000,831643,840590,852137,861944,871492,882532,888961,901256,911433,920128,932713,943794,951633,961202,970970,972273,974790,976379,976629,985668,991074,996936,1005218,1011852,1018409,1017309,1021580,1027242,1036074,1041648,1052571,1059357,1063512,1070602,1077491,1080453,1084795,1083202,1087769,1089351,1093181,1093908,1099004,1102894,1105633,1111389,1112135,1119157,1105220,1111584,1119592,1120861,1125763,1131747,1139167
1.25_21_250,90676,76395,70381,65409,57174,57733,58973,57624,55316,55113,39638,37645,27138,31087,23815,25583,27434,28616,29670,27023,30098,35983,34839,41472,38079,36977,33216,26255,23509,23925,16649,20503,21729,31598,16117,1445,-21809,-32935,-47879,-62252,-64193,-68441,-74078,-79047,-103879,-122602,-128153,-132124,-136101,-133074,-123860,-120566,-113038,-123089,-117645,-112409,-118357,-114676,-110581,-107560,-107116,-115615,-113703,-108366,-104057,-95875,-80550,-67819,-53394,-51882,-40476,-24839,-10708,7581,30222,46978,70956,93364,118567,114291,136111,156038,171172,195053,222302,251620,274478,304452,314503,339930,364966,378291,407806,431176,430306,447934,470233,490082,508333,524406,546960,567599,585627,604202,615413,630301,637434,649141,657737,668888,679151,694344,705662,720077,732131,739785,752084,766730,775433,779324,778321,748224,745831,726670,728030,727480,729760,735558,726718,703096,703566,707362,704243,708635,711407,702934,706500,706964,704996,711141,717079,722353,728486,732325,737332,744203,752133,749157,751822,758006,763472,757194,763980,769519,776041,786508,788087,792930,795936,800177,800151,805133,809768,811356,817290,812706,811808,814173,820809,828863,833589,835542,841453,837921,847515,857676,864613,861320,864523,870949,874387,857147,862398,867120,867160,862510,832048,828331,823607,824303,826491,818786,805169,781452,776590,767872,767184,766472,757108,756536,761031,760161,761515,748229,755554,756052,760602,770398,775965,785578,790261,797765,802257,813383,825565,837145,847508,859414,868318,882369,894973,905857,919494,932822,939819,949737,958995,958893,960345,959075,958888,967958,974283,979884,989039,995976,1004096,1002618,1008544,1015932,1027856,1034872,1047947,1051866,1051566,1059568,1067142,1072470,1077766,1076687,1083081,1084368,1088126,1085827,1091262,1096405,1100736,1105510,1107982,1116772,1100471,1106273,1115402,1116028,1121434,1128948,1136472
1.0_21_200,90101,76705,65752,58832,46962,46572,47547,45459,43435,41372,25757,21174,9690,11998,2765,4023,2880,4207,5308,-492,4083,10190,7674,12358,6948,6529,1118,-6630,-12353,-13662,-21284,-18119,-19638,-7215,-21174,-34970,-56846,-69096,-85724,-103582,-108631,-115566,-125862,-135209,-158561,-179160,-188932,-195720,-201172,-198174,-187957,-186976,-179441,-189419,-186435,-183162,-188652,-189208,-185889,-184519,-184153,-195578,-192380,-184995,-180994,-171200,-153681,-139366,-124620,-124926,-113569,-95961,-84152,-66093,-40567,-25604,1580,27834,53900,46589,70878,93178,110345,137105,166494,197708,218315,250168,259729,288125,317371,328746,359343,385751,383036,401787,426315,449846,471354,488025,511584,533223,551229,573807,585649,600947,607142,617395,626515,640582,652741,668218,677916,695084,708512,717810,729074,744308,754357,758988,757615,731833,730222,710056,710057,710379,711908,717684,706639,683092,681873,685538,682117,687247,691211,681677,683999,682005,677387,685416,694343,698827,705967,708844,715655,723115,731268,726278,731001,735166,742051,736532,744660,750544,758493,769983,772295,775171,777009,781502,778934,786520,793005,791899,798753,793994,792549,793917,802142,810222,815328,817415,824586,819956,829412,840491,849252,846401,849644,857293,858328,841883,848799,853188,854773,849102,822084,813208,808148,807812,807611,795779,781105,755987,745139,730277,725441,725496,715200,707931,713191,710723,710424,695602,704407,703438,709017,721792,730155,739781,745018,753935,756354,769205,781216,795757,807530,820646,831305,847230,862124,873911,890139,903225,911818,919595,928407,924966,929212,924779,921118,928411,934796,940412,948697,956190,964425,962476,970693,978217,991321,1001406,1016095,1019963,1019998,1030164,1037020,1044868,1051297,1049827,1056324,1057335,1059820,1057174,1061518,1068509,1073716,1078721,1079105,1090400,1073704,1082442,1091850,1094630,1101282,1110318,1120001
1.75_21_350,96277,84717,82506,82437,79884,81979,83342,83329,85383,86307,77160,76247,71053,73700,70650,71465,75956,78382,79054,77821,79830,86679,87056,92095,93232,92312,92699,90028,89619,89916,84138,86313,87849,93900,82130,76756,55755,50146,41480,34436,34528,33531,32161,31785,16425,6672,6155,6153,4629,6500,11294,15407,21666,18751,23108,27114,25094,32847,36657,40051,42934,38772,42302,45690,48955,52898,64050,75012,85742,90166,99886,111096,122846,138121,154805,168984,186337,202495,221826,222702,240441,255484,266337,282243,303378,328419,352860,377927,388631,407424,425960,442658,468091,486027,489471,503757,519716,534416,546438,559609,578649,596876,610010,623433,634216,646806,656530,666034,672628,679265,686232,697879,708965,719152,728307,733669,742385,753588,762686,765336,763800,732338,732576,721984,723253,722919,724550,727813,723391,706233,707122,709895,710468,713272,714485,712987,715250,717812,719069,722348,726032,729050,733079,736149,739331,744131,747321,747783,752921,756672,760360,759803,765496,769547,773730,779848,784530,790307,794539,799860,801353,805793,809424,811934,817077,817296,817465,821503,825944,831555,836384,840563,846834,843987,849588,855415,861657,862451,865577,869937,873160,858913,862711,865837,866420,864534,832302,831912,828202,828534,829919,829601,822442,803751,803079,801501,802544,803149,796929,798557,801965,802746,803885,798036,802888,802791,806808,812060,815948,822510,825191,829648,832275,840102,849146,857224,866984,876888,883333,893761,902329,909251,921036,929344,936099,943955,952270,952491,954583,957549,959098,966636,971467,975545,982320,988488,994566,996056,1001036,1004873,1011711,1016530,1025758,1032226,1038355,1044162,1049920,1053686,1059554,1059367,1064066,1064903,1067540,1068993,1072841,1075318,1078328,1083484,1084411,1090386,1083536,1088763,1095258,1097863,1103060,1109507,1117257
